"ID","Created Date","Updated Date","Owner","crossover","Component","Polarity","Delay","HPF","HPT","LPF","LPT","Gain"
"01139e86-ddbb-42ba-9ff5-bc1340e14026",2024-04-14T23:13:11Z,2024-04-14T23:13:11Z,"9a64f577-0ddb-46e6-86f2-3d30f8940777","189f7600-a19f-4368-9d00-13104805c968","15""	","'+","0.4","25","24dB But	","90","24dB LR	","'+6
"
"0308a9f9-c3fe-471d-90ec-fb7fcdceb8a2",2024-04-14T23:13:12Z,2024-04-14T23:13:12Z,"9a64f577-0ddb-46e6-86f2-3d30f8940777","f72d1951-49d0-42dc-bd58-a52ce400b25f","12""	","'+","2.000","125","24dB LR	","445","24dB LR	","'+1
"
"088d97ce-cb33-41ca-9030-a9f105ab9559",2024-04-14T23:13:11Z,2024-04-14T23:13:11Z,"9a64f577-0ddb-46e6-86f2-3d30f8940777","98eaea16-8405-431e-9378-7602e4557001","Low-Mid	","'+	","1.34	","85	","24dB LR	","694	","24dB LR	","0
"
"0a1b5b14-910d-4c7e-8e65-802020bc94b0",2024-04-14T23:13:11Z,2024-04-14T23:13:11Z,"9a64f577-0ddb-46e6-86f2-3d30f8940777","31c879b5-ab8c-4503-bda8-1460da97f814","8"" & 1""	","'+	","1.5	","110	","24dB LR	","32k	","24dB LR	","0
"
"0a4df4d9-a847-4523-b395-248fa4ecd4e4",2024-04-14T23:13:11Z,2024-04-14T23:13:11Z,"9a64f577-0ddb-46e6-86f2-3d30f8940777","1044179c-80a9-40b2-8473-5c651afba458","15""	","'+","0","25","24dB But	","100","24dB LR	","'+4
"
"0a640cb8-754f-48dd-983d-d3fbe78395f7",2024-04-14T23:13:11Z,2024-04-14T23:13:11Z,"9a64f577-0ddb-46e6-86f2-3d30f8940777","342cdbe7-323b-481c-9e92-0f56ce65f2a2","DS15 15""	","'+	","0	","105","24dB LR	","227	","24dB LR	","'+3
"
"0cdecf4e-f62e-425d-996d-3f3dd4b3bd33",2024-04-14T23:13:11Z,2024-04-14T23:13:11Z,"9a64f577-0ddb-46e6-86f2-3d30f8940777","45287776-af6c-41fc-9db0-19231b06845b","1""	","'-	","2.826	","5k04","24dB LR	","32k	","24dB LR	","'-3
"
"0e990cfb-49b2-439b-991d-fb3f1b24b20f",2024-04-14T23:13:11Z,2024-04-14T23:13:11Z,"9a64f577-0ddb-46e6-86f2-3d30f8940777","3bef87e4-0641-46e8-b278-98d5d793b150","F218 18""	","'+	","2","45.1	","24dB LR	","105	","24dB LR	","'+3
"
"10e79ebb-bfcb-4c9d-8eed-4e487c418e75",2024-04-14T23:13:12Z,2024-04-14T23:13:12Z,"9a64f577-0ddb-46e6-86f2-3d30f8940777","f72d1951-49d0-42dc-bd58-a52ce400b25f","8""	","'+	","3.651	","445","24dB LR	","7k55","24dB LR	","0
"
"15795ff4-a482-4113-8ac2-36d6f05fa566",2024-04-14T23:13:11Z,2024-04-14T23:13:11Z,"9a64f577-0ddb-46e6-86f2-3d30f8940777","168af8a0-2e9b-4a1b-a729-3f125ad3f007","10"" & 1""	","'+	","0	","100","24dB LR	","32k	","24dB LR	","0"
