"Title","ID","Created Date","Updated Date","Owner","ProductCode","Product","file"
"3D CAD","003fd65e-d5b9-41fd-9adc-a0ba78ffa0dd",2024-04-02T18:42:56Z,2024-04-02T18:42:56Z,"9a64f577-0ddb-46e6-86f2-3d30f8940777","VERO V124","107d378d-eb13-419c-b8b9-70be6c69b127","https://images.prismic.io/funktion-one/84198778-5290-407c-917d-90fb3fabd69e_F124-F1-WD%3DT0120-00.png?auto=compress,format"
"Ground Stack Configuration","0076c21f-0640-4508-b762-4468467a7176",2024-04-02T18:42:57Z,2024-04-02T18:42:57Z,"9a64f577-0ddb-46e6-86f2-3d30f8940777","RES 5E","ac5a3611-d1d3-4edf-8800-f65ee3d103b1","https://funktion-one.cdn.prismic.io/funktion-one/ec4c6d6e-e40e-458a-a288-d50b21d4d0a0_GroundStacks_April14.pdf"
"DXF Elevation","00b0d201-0de6-44f1-b684-2f12a0d631d3",2024-04-02T18:42:57Z,2024-04-02T18:42:57Z,"9a64f577-0ddb-46e6-86f2-3d30f8940777","Infrahorn","8aa87940-3616-483f-8390-0e9a92c7c6c3","https://funktion-one.cdn.prismic.io/funktion-one/5f828108-20f6-4f20-8a73-48d59a188e7e_IH-D-webdxf.dxf"
"Brochure","00f1a895-1cda-4315-8808-49697ee7200d",2024-04-02T18:42:56Z,2024-04-02T18:42:56Z,"9a64f577-0ddb-46e6-86f2-3d30f8940777","EVO 6EL","19aea7d2-c13e-44d8-9ec6-7f2fb117d8b1","https://funktion-one.cdn.prismic.io/funktion-one/b3811688-12ae-4d08-8df9-a4536c94bfb4_Evo+Brochure+2022+HR.pdf"
"WALL MOUNT","010d3016-4002-4ed3-a33c-dc71061e01ca",2024-04-02T18:42:56Z,2024-04-02T18:42:56Z,"9a64f577-0ddb-46e6-86f2-3d30f8940777","F5.2","7aaa4847-fc37-46f0-b5cd-1c93d9f73378","https://funktion-one.cdn.prismic.io/funktion-one/13045fcb-94d4-49d7-a738-e4861bec353f_F5%2BYF5-F1-DD%3DT0056-00.PDF"
"Specification Sheet","01530fe7-0890-4fe3-a619-035ab94a6b1c",2024-04-02T18:42:57Z,2024-04-02T18:42:57Z,"9a64f577-0ddb-46e6-86f2-3d30f8940777","F221","fb0c27dc-ed86-4756-8192-fb02269af178","https://funktion-one.cdn.prismic.io/funktion-one/672f18d2-a3f5-4224-97f9-227b8da263a3_F221-F1-DS%3DD0036-01.pdf"
"Ground Stack Tilt Straps","01e8cdde-3200-4446-8023-c4ba608abd9c",2024-04-02T18:42:57Z,2024-04-02T18:42:57Z,"9a64f577-0ddb-46e6-86f2-3d30f8940777","EVO 6E","f9a3e3e1-1def-4cf2-8d82-c670ca7c6366","https://funktion-one.cdn.prismic.io/funktion-one/2a0e358f-788c-42d1-90f4-bcd0ee0a5b1f_New+Ground+Stack+Straps-2.pdf"
"2D CAD","0207239f-adb2-41ed-8b2b-90cb034cd0d9",2024-04-02T18:42:56Z,2024-04-02T18:42:56Z,"9a64f577-0ddb-46e6-86f2-3d30f8940777","F101.2","6d802606-973f-4ec3-a325-f1d596b436e5","https://funktion-one.cdn.prismic.io/funktion-one/aeb79248-25d9-4b7d-9e61-830d5fb8308f_F101.2-F1-2DM%3DT0048-00.dwg"
"2D CAD","02f4fe11-d8ce-4c68-b329-8115a11fbf4a",2024-04-02T18:42:56Z,2024-04-02T18:42:56Z,"9a64f577-0ddb-46e6-86f2-3d30f8940777","F5.2","7aaa4847-fc37-46f0-b5cd-1c93d9f73378","https://funktion-one.cdn.prismic.io/funktion-one/feaeb95e-f5a7-4a2a-9aec-c6dcbd5b0589_F5.2-F1-2DM%3DT0037-01.dwg"
"Vero Brochure","03f404d3-20ed-425b-b96b-7623fe1ef1ea",2024-04-02T18:42:57Z,2024-04-02T18:42:57Z,"9a64f577-0ddb-46e6-86f2-3d30f8940777","VERO V60","c665008e-a037-4f53-8adf-ff666768a757","https://funktion-one.cdn.prismic.io/funktion-one/43579517-3243-4a75-b002-859eda36af46_VERO+Brochure_Compressed.pdf"
"Vero Brochure","040d6024-556c-4999-92d9-c0c03f9215f7",2024-04-02T18:42:57Z,2024-04-02T18:42:57Z,"9a64f577-0ddb-46e6-86f2-3d30f8940777","VERO V90","904044a9-6c1f-4197-9ff3-286e03777601","https://funktion-one.cdn.prismic.io/funktion-one/43579517-3243-4a75-b002-859eda36af46_VERO+Brochure_Compressed.pdf"
