"Title","ID","Created Date","Updated Date","Owner","performanceFeature","index"
"Dimensionally identical to F218","00f891bb-5df5-4269-9c4e-1a057391e32a",2024-04-02T17:34:36Z,2024-06-07T12:29:12Z,"9a64f577-0ddb-46e6-86f2-3d30f8940777","8e8bdd23-8123-4360-8350-42d152d28b5a",1
"Three-way","011e517d-f36c-413b-b7ac-709aa4ccd86d",2024-04-02T17:34:37Z,2024-06-07T12:29:12Z,"9a64f577-0ddb-46e6-86f2-3d30f8940777","d6d8c1af-2148-4d9d-9e97-d6d4b657174b",1
"Construction 18mm birch plywood","0131820e-0fb4-47d2-8fab-9a8cc3034f66",2024-04-02T17:34:36Z,2024-06-07T12:29:12Z,"9a64f577-0ddb-46e6-86f2-3d30f8940777","294b9644-a271-405f-9978-f596cfbf6c69",1
"Integral handles","02179937-5780-4a63-8f8f-628f3cad5c31",2024-04-02T17:34:36Z,2024-06-07T12:29:12Z,"9a64f577-0ddb-46e6-86f2-3d30f8940777","294b9644-a271-405f-9978-f596cfbf6c69",2
"Natural and effortless vocal clarity","035f2b6d-252b-4943-bc33-23cbc42522f2",2024-04-02T17:34:35Z,2024-06-07T12:29:12Z,"9a64f577-0ddb-46e6-86f2-3d30f8940777","d2830769-c521-43f2-8e1a-0ca73ad65023",1
"Fully horn loaded for high efficiency","04d74b12-70d0-44fa-91aa-ff892a164b40",2024-04-02T17:34:37Z,2024-06-07T12:29:12Z,"9a64f577-0ddb-46e6-86f2-3d30f8940777","bb633ebe-b43e-4349-8559-b24857167d3a",1
"Integral 35mm pole mount","04e7290d-8793-4c2b-b3b8-873844ae69e1",2024-04-02T17:34:36Z,2024-06-07T12:29:12Z,"9a64f577-0ddb-46e6-86f2-3d30f8940777","70816c8e-9ba3-4035-93ea-39f1751f6c82",1
"Fully horn loaded for high efficiency","05ff3301-4cdb-4f4c-94e8-d96e8df17ef4",2024-04-02T17:34:37Z,2024-06-07T12:29:12Z,"9a64f577-0ddb-46e6-86f2-3d30f8940777","4e42a04d-0033-43c2-8c2c-b44c30442a4d",1
"Dual Funktion-One designed 18” drivers with 5” voice-coils","081d041d-ed6a-4140-a29c-2692b340a258",2024-04-02T17:34:36Z,2024-06-07T12:29:12Z,"9a64f577-0ddb-46e6-86f2-3d30f8940777","8e8bdd23-8123-4360-8350-42d152d28b5a",2
"Advanced loudspeaker driver design","08d88873-4b17-44bf-bd75-9bc734a39ec3",2024-04-02T17:34:37Z,2024-06-07T12:29:12Z,"9a64f577-0ddb-46e6-86f2-3d30f8940777","a30c8ab0-f0a7-4860-b952-62f506ebd2c7",1
"Robust powder coated steel grille","08dcaf87-b5fb-4997-bbd9-dab8850d62a8",2024-04-02T17:34:36Z,2024-06-07T12:29:12Z,"9a64f577-0ddb-46e6-86f2-3d30f8940777","294b9644-a271-405f-9978-f596cfbf6c69",3
"Integral handles","0b24fbdc-75ac-4641-a8b0-440ce6dbda08",2024-04-02T17:34:36Z,2024-06-07T12:29:12Z,"9a64f577-0ddb-46e6-86f2-3d30f8940777","425c4ed5-cd28-4792-aa67-30d6e8691bdb",1
"Evo 7EH version available in wooden enclosure","0b583961-b01a-4755-a9e8-167a306e5a48",2024-04-02T17:34:36Z,2024-06-07T12:29:12Z,"9a64f577-0ddb-46e6-86f2-3d30f8940777","30414058-b90e-46ee-9c4b-9674eed6ba37",1
"Powersoft linear motor and integrated 15kW M-Drive amplifier","0b6dcb1e-0e19-4ef1-8d60-7aeeefda6cd2",2024-04-02T17:34:36Z,2024-06-07T12:29:12Z,"9a64f577-0ddb-46e6-86f2-3d30f8940777","ff5a364c-0e4a-4cb5-92d7-f3df5914c893",1
"Advanced loudspeaker design","0bb85b48-080a-4399-8faa-c89923338545",2024-04-02T17:34:37Z,2024-06-07T12:29:12Z,"9a64f577-0ddb-46e6-86f2-3d30f8940777","bb633ebe-b43e-4349-8559-b24857167d3a",2
"Funktion-One designed 12"" drivers","0bfe318c-5692-4aee-bec3-fa6afd66fcb4",2024-04-02T17:34:35Z,2024-06-07T12:29:12Z,"9a64f577-0ddb-46e6-86f2-3d30f8940777","4f502ccf-f30a-4d1b-9685-4918489fb391",1
"M20 threaded pole mount plate supplied as standard","0dc82f56-16db-453f-994d-5b26baf626ce",2024-04-02T17:34:36Z,2024-06-07T12:29:12Z,"9a64f577-0ddb-46e6-86f2-3d30f8940777","291c265f-26ee-43e7-ab8c-8ee043f74ca2",1
"Evo waveguides","0eae5838-bd68-49bd-a156-2e061a556bd3",2024-04-02T17:34:36Z,2024-06-07T12:29:12Z,"9a64f577-0ddb-46e6-86f2-3d30f8940777","9db95679-8e38-4d67-b83f-af26c80e987d",1
"Sturdy construction","0ece86c1-9fd3-4f15-9543-ecd53eb6c46c",2024-04-02T17:34:36Z,2024-06-07T12:29:12Z,"9a64f577-0ddb-46e6-86f2-3d30f8940777","cccafae6-517a-4d76-8c6a-33e268abc718",1
"Compact and lightweight (47kg)","0ee5e37e-19fa-48f1-bfea-c221736cddf7",2024-04-02T17:34:36Z,2024-06-07T12:29:12Z,"9a64f577-0ddb-46e6-86f2-3d30f8940777","5598292f-89e0-4f16-9cd0-20f994e78402",1
"Optional wheels available","0f0b614b-60ab-4ff3-9802-841a8757bec8",2024-04-02T17:34:36Z,2024-06-07T12:29:12Z,"9a64f577-0ddb-46e6-86f2-3d30f8940777","a41bea16-6327-4578-9193-2412669d1345",1
"High sensitivity","0f159cb5-25f5-4089-abfd-e3716796c95e",2024-04-02T17:34:35Z,2024-06-07T12:29:12Z,"9a64f577-0ddb-46e6-86f2-3d30f8940777","26a9ed9d-e93f-4550-a950-ae147f1027df",1
"Integral 35mm pole mount","1035d699-c055-4dfa-8b93-cd26c89e0d61",2024-04-02T17:34:35Z,2024-06-07T12:29:12Z,"9a64f577-0ddb-46e6-86f2-3d30f8940777","edc3864a-8abc-4b8e-89fc-4d12adff6c6e",1
"Extremely well braced enclosure for clean bass performance","11f0c67d-afe7-4f9a-a77f-6e05eb08ce53",2024-04-02T17:34:36Z,2024-06-07T12:29:12Z,"9a64f577-0ddb-46e6-86f2-3d30f8940777","faa6cf54-5225-46eb-9884-e35147d1d8a0",1
"Wide dispersion","121ccf5b-0cf0-4566-8df4-fc0b3b79898c",2024-04-02T17:34:35Z,2024-06-07T12:29:12Z,"9a64f577-0ddb-46e6-86f2-3d30f8940777","edc3864a-8abc-4b8e-89fc-4d12adff6c6e",2
"Captive link lead connection","130d16e1-e987-4f12-89a8-90f87f9224cd",2024-04-02T17:34:37Z,2024-06-07T12:29:12Z,"9a64f577-0ddb-46e6-86f2-3d30f8940777","c11b836b-523a-4907-857b-a82742187f99",1
"Optional throat grilles and wheels nest inside flare of adjacent enclosure","13249147-8399-41ea-a3fb-88e82cec7d53",2024-04-02T17:34:36Z,2024-06-07T12:29:12Z,"9a64f577-0ddb-46e6-86f2-3d30f8940777","dabc38ca-00a7-487d-9de0-4a39bc684043",1
"Dedicated installation flying hardware","138a6322-bf31-40ae-942b-89b638553307",2024-04-02T17:34:36Z,2024-06-07T12:29:12Z,"9a64f577-0ddb-46e6-86f2-3d30f8940777","6d5767b1-2d83-47e8-9c59-bd38cee4eb07",1
"High sensitivity/electroacoustic energy efficiency","13a9dadf-a7c9-43ff-aa81-3f728574e8f6",2024-04-02T17:34:36Z,2024-06-07T12:29:12Z,"9a64f577-0ddb-46e6-86f2-3d30f8940777","c1baec55-9e22-4b38-b580-da2ee62895eb",1
"Integral wheels for easy manoeuvrability on stage","13c49ca5-d055-4345-94aa-62fc5b236f0f",2024-04-02T17:34:37Z,2024-06-07T12:29:12Z,"9a64f577-0ddb-46e6-86f2-3d30f8940777","c11b836b-523a-4907-857b-a82742187f99",2
"Funktion-One designed drivers","1492ebe8-d5a9-4de1-87d8-b683e24c69e2",2024-04-02T17:34:36Z,2024-06-07T12:29:12Z,"9a64f577-0ddb-46e6-86f2-3d30f8940777","fe3ccc0d-5614-4566-b1e6-d2b116e9d884",1
"Excellent electroacoustic energy efficiency","14edd977-969b-4ef1-aa41-90597a8c3050",2024-04-02T17:34:36Z,2024-06-07T12:29:12Z,"9a64f577-0ddb-46e6-86f2-3d30f8940777","029c332f-ac11-48f4-b4f7-8f10789b4533",1
"Up to 8 units can be connected in parallel","155a0ffa-2492-4bfe-a036-15ad7ee79290",2024-04-02T17:34:35Z,2024-06-07T12:29:12Z,"9a64f577-0ddb-46e6-86f2-3d30f8940777","26a9ed9d-e93f-4550-a950-ae147f1027df",2
"Construction 18mm Birch Ply","15be25ec-23cc-40dd-b46a-5c166ab3ffac",2024-04-02T17:34:36Z,2024-06-07T12:29:12Z,"9a64f577-0ddb-46e6-86f2-3d30f8940777","ff5a364c-0e4a-4cb5-92d7-f3df5914c893",2
"Neodymium magnets","16049cbb-eeaa-4138-9c2a-e263207261f6",2024-04-02T17:34:36Z,2024-06-07T12:29:12Z,"9a64f577-0ddb-46e6-86f2-3d30f8940777","cccafae6-517a-4d76-8c6a-33e268abc718",2
"Lambda rigging ensures accurate array alignment","16ea3629-03ad-4d21-b2ef-d25b3721fd28",2024-04-02T17:34:35Z,2024-06-07T12:29:12Z,"9a64f577-0ddb-46e6-86f2-3d30f8940777","d2830769-c521-43f2-8e1a-0ca73ad65023",2
"Fully horn loaded for high efficiency","173f9921-49e4-4359-b4c6-4fc5a134c8f8",2024-04-02T17:34:36Z,2024-06-07T12:29:12Z,"9a64f577-0ddb-46e6-86f2-3d30f8940777","53864004-4a41-49fa-bc1f-ef71d7e3fd63",1
"Triple concentric point source driver combination","1b4aa6cd-fb5b-42d2-9c13-105f75c43205",2024-04-02T17:34:36Z,2024-06-07T12:29:12Z,"9a64f577-0ddb-46e6-86f2-3d30f8940777","70816c8e-9ba3-4035-93ea-39f1751f6c82",2
"Two-way","1c9025c9-af4c-4e9a-90b5-97dd05d9474d",2024-04-02T17:34:37Z,2024-06-07T12:29:12Z,"9a64f577-0ddb-46e6-86f2-3d30f8940777","d5828231-7903-49dc-a66b-336be43c982a",1
"High efficiency/low energy consumption design","1d5681ea-946e-491c-aa07-b53316d89533",2024-04-02T17:34:36Z,2024-06-07T12:29:12Z,"9a64f577-0ddb-46e6-86f2-3d30f8940777","5598292f-89e0-4f16-9cd0-20f994e78402",2
"Includes stainless steel mounting yoke","1e285368-72ff-4b52-a8d0-f8945ba9f405",2024-04-02T17:34:35Z,2024-06-07T12:29:12Z,"9a64f577-0ddb-46e6-86f2-3d30f8940777","ef6f25ae-9f89-4d11-b721-35c398242366",1
"Wide 90° horizontal dispersion","1f682108-8ef3-4d3e-ba1f-f19fedba1219",2024-04-02T17:34:36Z,2024-06-07T12:29:12Z,"9a64f577-0ddb-46e6-86f2-3d30f8940777","5598292f-89e0-4f16-9cd0-20f994e78402",3
"Minimalist passive crossover design for maximum resolution","1f9485a6-0319-4f36-85c8-f3781a96793a",2024-04-02T17:34:36Z,2024-06-07T12:29:12Z,"9a64f577-0ddb-46e6-86f2-3d30f8940777","1fa40b7b-0c07-49cd-82b4-a50f1aaed8cb",1
"Various mounting/rigging options (yoke, wall bracket)","1fd6359e-7c95-49c4-a73d-603ce341a875",2024-04-02T17:34:36Z,2024-06-07T12:29:12Z,"9a64f577-0ddb-46e6-86f2-3d30f8940777","1fa40b7b-0c07-49cd-82b4-a50f1aaed8cb",2
"Low weight Neodymium magnets throughout","20aad67c-97e0-4f87-9ad5-a03e12c23ebb",2024-04-02T17:34:36Z,2024-06-07T12:29:12Z,"9a64f577-0ddb-46e6-86f2-3d30f8940777","30414058-b90e-46ee-9c4b-9674eed6ba37",2
"Up to 8 units can be connected in parallel","2143c455-86e1-4723-8ef3-67e2cc795509",2024-04-02T17:34:36Z,2024-06-07T12:29:12Z,"9a64f577-0ddb-46e6-86f2-3d30f8940777","c9250358-5951-404d-8b0d-7733561914c4",1
"Compact and manageable enclosures","21ac1012-b4a2-4390-9a09-1c86936f5f65",2024-04-02T17:34:36Z,2024-06-07T12:29:12Z,"9a64f577-0ddb-46e6-86f2-3d30f8940777","faa6cf54-5225-46eb-9884-e35147d1d8a0",2
"New Funktion-One designed dual voice coil 24” driver","21cfa079-d30b-424b-a16b-24598a8de85a",2024-04-02T17:34:36Z,2024-06-07T12:29:12Z,"9a64f577-0ddb-46e6-86f2-3d30f8940777","d8bb19ea-3ae8-490e-9206-b844538573b3",1
"Includes stainless steel mounting yoke","223ce9f3-5dc7-460e-86e6-4a930c65c997",2024-04-02T17:34:36Z,2024-06-07T12:29:12Z,"9a64f577-0ddb-46e6-86f2-3d30f8940777","fe3ccc0d-5614-4566-b1e6-d2b116e9d884",2
"Identical footprint and hardware to Evo 6E","22c70e82-4315-43c9-ba2f-6f753769a2ea",2024-04-02T17:34:35Z,2024-06-07T12:29:12Z,"9a64f577-0ddb-46e6-86f2-3d30f8940777","e55d797b-4926-4d46-b43e-267f56b6c92a",1
"Excellent electroacoustic energy efficiency","22c9ca2c-8dcf-44f0-b06a-2584c6a4e55f",2024-04-02T17:34:37Z,2024-06-07T12:29:12Z,"9a64f577-0ddb-46e6-86f2-3d30f8940777","84f0f494-0ce0-4e1c-842d-dff7c907d1f9",1
"Integrated flying and ground-stack system","23412e2b-4c82-46ed-aed4-55b60b6eb9fa",2024-04-02T17:34:37Z,2024-06-07T12:29:12Z,"9a64f577-0ddb-46e6-86f2-3d30f8940777","bb633ebe-b43e-4349-8559-b24857167d3a",3
"Low weight Neodymium Magnets throughout","24e06091-e168-4a30-918f-36182c75f8a1",2024-04-02T17:34:37Z,2024-06-07T12:29:12Z,"9a64f577-0ddb-46e6-86f2-3d30f8940777","4e42a04d-0033-43c2-8c2c-b44c30442a4d",2
"FEA-optimised Neodymium magnet","255d7d24-548c-4268-aea5-ebe277779869",2024-04-02T17:34:36Z,2024-06-07T12:29:12Z,"9a64f577-0ddb-46e6-86f2-3d30f8940777","d8bb19ea-3ae8-490e-9206-b844538573b3",2
"Optional full grill for discreet appearance","2638275a-d871-4345-a5d3-d76afbb409fc",2024-04-02T17:34:37Z,2024-06-07T12:29:12Z,"9a64f577-0ddb-46e6-86f2-3d30f8940777","05fd1a86-406a-4230-9fdc-6693e2b17fc7",1
"Curved powder-coated mild steel grille","26a8e064-ab95-44da-af14-e36c137b199e",2024-04-02T17:34:36Z,2024-06-07T12:29:12Z,"9a64f577-0ddb-46e6-86f2-3d30f8940777","aeecfece-9dc7-4ce4-88f3-3cc45ccab8aa",1
"Fully horn loaded for high efficiency","26ca5490-004c-4371-ba7a-9ee5b8127499",2024-04-02T17:34:37Z,2024-06-07T12:29:12Z,"9a64f577-0ddb-46e6-86f2-3d30f8940777","d5828231-7903-49dc-a66b-336be43c982a",2
"Robust powder coated steel grille","27e9314a-5baf-4b59-9e2e-ca09875a56e1",2024-04-02T17:34:35Z,2024-06-07T12:29:12Z,"9a64f577-0ddb-46e6-86f2-3d30f8940777","fb0bee04-23f0-432e-a659-360f2b742c38",1
"Low weight Neodymium magnets throughout","27f1feea-f345-4925-8770-10d873c038ce",2024-04-02T17:34:37Z,2024-06-07T12:29:12Z,"9a64f577-0ddb-46e6-86f2-3d30f8940777","bb633ebe-b43e-4349-8559-b24857167d3a",4
"Optional wheelboard and sturdy grille for discreet appearance","2906460f-b977-49a2-8208-2aa3e857e98a",2024-04-02T17:34:37Z,2024-06-07T12:29:12Z,"9a64f577-0ddb-46e6-86f2-3d30f8940777","bb633ebe-b43e-4349-8559-b24857167d3a",5
"Robust powder coated steel grille","297d0313-7116-4774-9507-3359df25a74f",2024-04-02T17:34:36Z,2024-06-07T12:29:12Z,"9a64f577-0ddb-46e6-86f2-3d30f8940777","425c4ed5-cd28-4792-aa67-30d6e8691bdb",2
"Two-way (passive version available)","2a3a2d7c-aff4-4b82-a6a2-f899a38ed5b5",2024-04-02T17:34:35Z,2024-06-07T12:29:12Z,"9a64f577-0ddb-46e6-86f2-3d30f8940777","fe3ccc0d-5614-4566-b1e6-d2b116e9d884",3
"100V line and fire retardant versions available","2a930412-beca-4d8a-834b-8bb0e411073f",2024-04-02T17:34:36Z,2024-06-07T12:29:12Z,"9a64f577-0ddb-46e6-86f2-3d30f8940777","0859b14b-d14f-4ac6-9e20-73ea4c0028c7",1
"Low centre of mass for easy handling","2b8331d9-348d-4567-b63c-46ccdeb295bf",2024-04-02T17:34:36Z,2024-06-07T12:29:12Z,"9a64f577-0ddb-46e6-86f2-3d30f8940777","d8bb19ea-3ae8-490e-9206-b844538573b3",3
"Dual NL4 and Phoenix connector combination as standard","2c50f5a1-7b38-4947-9064-68cefe018f33",2024-04-02T17:34:36Z,2024-06-07T12:29:12Z,"9a64f577-0ddb-46e6-86f2-3d30f8940777","c9250358-5951-404d-8b0d-7733561914c4",2
"Constructed 15mm Birch Ply","3273b7b0-9293-40cc-a842-a2ce04d11d49",2024-04-02T17:34:35Z,2024-06-07T12:29:12Z,"9a64f577-0ddb-46e6-86f2-3d30f8940777","4f502ccf-f30a-4d1b-9685-4918489fb391",2
"Suitable for a wide range of applications","32bc4978-a7b2-4909-b730-24394078835a",2024-04-02T17:34:35Z,2024-06-07T12:29:12Z,"9a64f577-0ddb-46e6-86f2-3d30f8940777","4ef0ab5b-cc65-401f-862b-93fbce42fa9e",1
"Optional Passive Crossover Module (PX1.5)","32f8fd8e-c5a6-416b-8030-4b0f13e17af7",2024-04-02T17:34:35Z,2024-06-07T12:29:12Z,"9a64f577-0ddb-46e6-86f2-3d30f8940777","edc3864a-8abc-4b8e-89fc-4d12adff6c6e",3
"Unique patented design","33d0613a-ef88-47e7-8690-481ccd9a74b7",2024-04-02T17:34:36Z,2024-06-07T12:29:12Z,"9a64f577-0ddb-46e6-86f2-3d30f8940777","6db53c8a-4923-443f-8590-0b51538cf70f",1
"Optional wheelboard and scrim","344e3548-fab2-4ef9-a5fe-3272e458e5b1",2024-04-02T17:34:36Z,2024-06-07T12:29:12Z,"9a64f577-0ddb-46e6-86f2-3d30f8940777","6d5767b1-2d83-47e8-9c59-bd38cee4eb07",2
"Very clean output, even at maximum power","3467f6c4-4c4f-499b-9ccc-184811a4f31f",2024-04-02T17:34:35Z,2024-06-07T12:29:12Z,"9a64f577-0ddb-46e6-86f2-3d30f8940777","d2830769-c521-43f2-8e1a-0ca73ad65023",3
"Naturally even frequency response","34e86938-5c0d-49b9-b050-ac6d57fd4c5a",2024-04-02T17:34:37Z,2024-06-07T12:29:12Z,"9a64f577-0ddb-46e6-86f2-3d30f8940777","c342224e-a73f-4b22-a949-6eba1bf9f11f",1
"Funktion-One designed Neodymium drivers","3564b1f6-d888-4a93-a7bf-b7bd94e52b50",2024-04-02T17:34:37Z,2024-06-07T12:29:12Z,"9a64f577-0ddb-46e6-86f2-3d30f8940777","05fd1a86-406a-4230-9fdc-6693e2b17fc7",2
"Evo6EH and Evo6SH mid-high versions also available","359c1954-b9c4-43a7-b3d3-3541a986284b",2024-04-02T17:34:37Z,2024-06-07T12:29:12Z,"9a64f577-0ddb-46e6-86f2-3d30f8940777","4e42a04d-0033-43c2-8c2c-b44c30442a4d",3
"Funktion-One designed driver with Neodymium magnet","36f7692e-7b59-4cd6-a369-08769e375cc3",2024-04-02T17:34:36Z,2024-06-07T12:29:12Z,"9a64f577-0ddb-46e6-86f2-3d30f8940777","add270f2-45ce-4e5e-96cd-26e690f6e009",1
"Funktion-One designed drivers","378a8d63-483d-4265-a563-b4cd6f8840d7",2024-04-02T17:34:36Z,2024-06-07T12:29:12Z,"9a64f577-0ddb-46e6-86f2-3d30f8940777","dabc38ca-00a7-487d-9de0-4a39bc684043",2
"Horn loaded for high efficiency","37e7782d-fc05-4638-b2c1-eeb678ae3716",2024-04-02T17:34:35Z,2024-06-07T12:29:12Z,"9a64f577-0ddb-46e6-86f2-3d30f8940777","c5531690-1ac9-4264-847a-0c0ab243b9ba",1
"Proven loading design with latest tuning","38bf174e-a2b2-4504-8cb5-229edaf10802",2024-04-02T17:34:35Z,2024-06-07T12:29:12Z,"9a64f577-0ddb-46e6-86f2-3d30f8940777","7dad19c3-7e47-4aa2-a59f-d6ec07dc3637",1
"Advanced Funktion-One tuning","399aab57-76dc-4812-b96f-c9b86ce1558d",2024-04-02T17:34:37Z,2024-06-07T12:29:12Z,"9a64f577-0ddb-46e6-86f2-3d30f8940777","2429a46a-50e8-4653-ab14-784a2fc900d2",1
"Extensively braced birch plywood cabinet","3af9a0af-a243-4106-9041-b8d2a725c659",2024-04-02T17:34:36Z,2024-06-07T12:29:12Z,"9a64f577-0ddb-46e6-86f2-3d30f8940777","ff5a364c-0e4a-4cb5-92d7-f3df5914c893",3
"Integrated flying system for quick and easy deployment","3b287559-b22b-450c-a243-21e571dc81f5",2024-04-02T17:34:37Z,2024-06-07T12:29:12Z,"9a64f577-0ddb-46e6-86f2-3d30f8940777","84f0f494-0ce0-4e1c-842d-dff7c907d1f9",2
"Meticulously crafted proprietary waveguides and driver technology","3b28b4b1-dfb6-4f66-b648-190b557872d3",2024-04-02T17:34:36Z,2024-06-07T12:29:12Z,"9a64f577-0ddb-46e6-86f2-3d30f8940777","029c332f-ac11-48f4-b4f7-8f10789b4533",2
"Choice of grille types","3cda369a-59dc-42c5-96f2-29e31cca1d20",2024-04-02T17:34:37Z,2024-06-07T12:29:12Z,"9a64f577-0ddb-46e6-86f2-3d30f8940777","5a7dda88-3e1e-42ae-9b1c-2e728f050374",1
"Construction 15mm Birch Ply","3cfabfc9-53b0-4174-b6dc-594fae9aed1f",2024-04-02T17:34:35Z,2024-06-07T12:29:12Z,"9a64f577-0ddb-46e6-86f2-3d30f8940777","d25b3174-63dc-4ee0-914b-499fb4722628",1
"Location feet and recesses for stacking","3cfe7912-4d80-4248-8297-2f16468f6ae6",2024-04-02T17:34:36Z,2024-06-07T12:29:12Z,"9a64f577-0ddb-46e6-86f2-3d30f8940777","d8bb19ea-3ae8-490e-9206-b844538573b3",4
"Constructed 15mm Birch Ply","3d197660-94b6-45eb-9bed-021436da2383",2024-04-02T17:34:37Z,2024-06-07T12:29:12Z,"9a64f577-0ddb-46e6-86f2-3d30f8940777","57eb776d-f43d-4d40-8e4c-2bbd2d20ec1b",1
"High sensitivity","3d3dbb33-b0d1-460f-b8ef-5e53120f201a",2024-04-02T17:34:36Z,2024-06-07T12:29:12Z,"9a64f577-0ddb-46e6-86f2-3d30f8940777","c9250358-5951-404d-8b0d-7733561914c4",3
"Optional 70/100V line transformer","407e12df-53d9-4bfa-9303-61a37944c24f",2024-04-02T17:34:36Z,2024-06-07T12:29:12Z,"9a64f577-0ddb-46e6-86f2-3d30f8940777","c9250358-5951-404d-8b0d-7733561914c4",4
"Fully horn loaded for high efficiency","4317f103-ebcc-4e44-9362-a6c313878e1e",2024-04-02T17:34:36Z,2024-06-07T12:29:12Z,"9a64f577-0ddb-46e6-86f2-3d30f8940777","6d5767b1-2d83-47e8-9c59-bd38cee4eb07",3
"Optional stainless steel mounting yoke and fixings","4362a2d8-98c2-4e40-9068-07af5c14851b",2024-04-02T17:34:37Z,2024-06-07T12:29:12Z,"9a64f577-0ddb-46e6-86f2-3d30f8940777","5ddd4291-a46a-4e46-92dc-282995149447",1
"Construction 18mm Birch Ply","44422423-be2a-4221-89b6-0f2b01308576",2024-04-02T17:34:35Z,2024-06-07T12:29:12Z,"9a64f577-0ddb-46e6-86f2-3d30f8940777","9d8c36ef-5269-422f-a28b-eb5b1b817e19",1
