"Name","ID","Created Date","Updated Date","Owner","Code","Products (Item)","Category","Main Image","categoryName","visible","homepage"
"Next Level Bass Loading and Driver Technology","107d378d-eb13-419c-b8b9-70be6c69b127",2024-02-20T16:42:52Z,2024-04-14T16:09:04Z,"9a64f577-0ddb-46e6-86f2-3d30f8940777","VERO V124","/products-1/vero-v124","6358ba19-97dd-4c45-a81f-01bf4b66790a","https://images.prismic.io/funktion-one/bfe3519b-633c-4c0c-bccb-9df2d386e07c_V124_Website_Product.png","Vero",,
"Lightweight Mid-High Loudspeaker","111c8df6-1532-4d4c-a9e2-465201be1cf0",2024-02-20T16:42:51Z,2024-04-14T16:09:04Z,"9a64f577-0ddb-46e6-86f2-3d30f8940777","AX88","/products-1/ax88","583addcd-b46f-4437-a4fb-4be2ae2c3790","https://images.prismic.io/funktion-one/634dc633-c8a6-45f0-a090-e71b6b671d49_AX88+New.png?auto=compress,format&w=1920&q=20","Public Address",,
"Extraordinary Powerful Bass Enclosure","1188c912-8a3a-4ea3-82ab-bda50f827f36",2024-02-20T16:42:51Z,2024-04-14T16:09:04Z,"9a64f577-0ddb-46e6-86f2-3d30f8940777","F132","/products-1/f132","f143d812-40b7-42fd-a4d3-e8656a60d12b","https://images.prismic.io/funktion-one/578c3b4d-593b-4255-bd4d-3de778b1c881_F132.png?auto=compress,format&w=1920&q=20","Horn Loaded Bass",,
"Low-mid section of the Dance Stack","1332fc8f-bad8-4c49-a8c4-25660427716c",2024-02-20T16:42:51Z,2024-04-14T16:09:04Z,"9a64f577-0ddb-46e6-86f2-3d30f8940777","DS15","/products-1/ds15","b70047f8-b0ea-4135-b8d6-8ab4930a010d","https://images.prismic.io/funktion-one/d0b49990-42c6-495c-bef2-739bf292ae53_Dance+Stack+DS15+Focus.jpg?auto=compress,format&w=1920&q=20","Dance Stack",,
"Deep Sub-Bass Extension","14cb2a97-774f-4037-97a6-5b336d0f2738",2024-02-20T16:42:51Z,2024-05-29T15:43:43Z,"9a64f577-0ddb-46e6-86f2-3d30f8940777","BR121","/products-1/br121","abae64fe-ee3c-4583-9aa6-156371279893","https://images.prismic.io/funktion-one/5786e4ca-334c-4da6-b546-4638d83cc8bc_BR121+600x600.jpg?auto=compress,format&rect=0,0,600,600&w=600&h=600","Bass Reflex",,
"Additional Mid-bass for 6E Systems","19aea7d2-c13e-44d8-9ec6-7f2fb117d8b1",2024-02-20T16:42:51Z,2024-06-07T13:58:54Z,"9a64f577-0ddb-46e6-86f2-3d30f8940777","EVO 6EL","/products-1/evo-6el","27d46285-7a91-4e3e-8b36-dd1c173b0040","https://images.prismic.io/funktion-one/c492e8fb-b14f-46b6-9c59-abc35dd08b22_Evo+6EL.png?auto=compress,format&w=1920&q=20","Evolution",true,
"Exceptional Sonic Quality","2c009461-b83a-4f90-8311-eef1b281dd4d",2024-02-20T16:42:51Z,2024-04-14T16:09:04Z,"9a64f577-0ddb-46e6-86f2-3d30f8940777","RES 4E","/products-1/res-4e","733aa22c-5cef-4468-9899-35b975bf9034","https://images.prismic.io/funktion-one/e78e0458-8aaf-45da-9b18-998f5b2589a7_Res+4E+New.png?auto=compress,format&w=1920&q=20","Resolution",,
"Ultra Compact Funktion-One Sound","2d65cf6a-3dbf-4e9a-86c0-971fbf42a025",2024-02-20T16:12:36Z,2024-06-07T15:03:18Z,"9a64f577-0ddb-46e6-86f2-3d30f8940777","F5.2","/products-1/f5.2","118ade95-1ba9-4da1-9321-6e2d7e1a6c19","https://images.prismic.io/funktion-one/2f582567-2287-472d-9503-503c9278172c_F5.2+Front+angled.jpg?auto=compress,format&w=1920&q=20","Compact",true,
"Vertically Arrayable Loudspeaker","35f5e069-dd57-4190-b1ef-903bd7107c66",2024-02-20T16:42:52Z,2024-04-14T16:09:04Z,"9a64f577-0ddb-46e6-86f2-3d30f8940777","VERO VX90","/products-1/vero-vx90","daac795b-8f84-49a6-91d7-bb676217590d","https://images.prismic.io/funktion-one/97ed6d87-abd4-432b-9326-eae8401c1e97_Vero+VX90+Angle.png?auto=compress,format&w=1920&q=20","Vero VX",,
"Wide Dispersion and Excellent Imaging","364071e8-e818-479b-9688-1f358eebb130",2024-02-20T16:42:51Z,2024-06-07T15:03:22Z,"9a64f577-0ddb-46e6-86f2-3d30f8940777","F55","/products-1/f55","118ade95-1ba9-4da1-9321-6e2d7e1a6c19","https://images.prismic.io/funktion-one/ad2d26d0-1581-41fd-a3ca-efbe17ab6974_F55.png?auto=compress,format&rect=0,39,1450,1450&w=1920&q=20&h=600","Compact",true,
"Extraordinary Design and Performance","367875ea-ebb7-47cf-9548-8b45d3c6679c",2024-02-20T16:42:51Z,2024-06-07T15:01:27Z,"9a64f577-0ddb-46e6-86f2-3d30f8940777","EVO X","/products-1/evo-x","27d46285-7a91-4e3e-8b36-dd1c173b0040","https://images.prismic.io/funktion-one/6dd0ea8b-db3d-4fbd-bc36-22626c2ed050_Evo+X+Product+Page.png?auto=compress,format&w=1920&q=20","Evolution",true,
"Mid-High Loudspeaker Enclosure","371f1bb8-b7cb-4d03-a349-592b13f19b66",2024-02-20T16:42:51Z,2024-04-14T16:09:04Z,"9a64f577-0ddb-46e6-86f2-3d30f8940777","EVO 6EH","/products-1/evo-6eh","27d46285-7a91-4e3e-8b36-dd1c173b0040","https://images.prismic.io/funktion-one/fb57d5bd-cef7-446b-811e-5b9043552df9_Evo+6EH.png?auto=compress,format&w=1920&q=20","Evolution",,
"High-Fidelity Two-Way Loudspeaker","3778639a-4b4f-4e03-aaf7-8e1d40ddc5e4",2024-02-20T16:42:51Z,2024-04-14T16:09:04Z,"9a64f577-0ddb-46e6-86f2-3d30f8940777","RES 1.5","/products-1/res-1.5","733aa22c-5cef-4468-9899-35b975bf9034","https://images.prismic.io/funktion-one/fce4adec-8232-4a1c-bacf-a6eaef593504_Res+1.5+Side.png?auto=compress,format&w=1920&q=20","Resolution",,
"Compact Horn Loaded Bass Enclosure","3a30e712-fc9e-438b-b75c-4c797adf0d8a",2024-02-20T16:42:51Z,2024-04-14T16:09:04Z,"9a64f577-0ddb-46e6-86f2-3d30f8940777","F115 MKII","/products-1/f115-mkii","f143d812-40b7-42fd-a4d3-e8656a60d12b","https://images.prismic.io/funktion-one/66e27c96-4bff-45c1-8551-78dadee658b9_F115+2.png?auto=compress,format&w=1920&q=20","Horn Loaded Bass",,
"Compact Horn-Loaded Enclosure","3e7c3ead-b19e-4945-beb6-076aa98bbf5e",2024-02-20T16:42:51Z,2024-06-07T14:00:01Z,"9a64f577-0ddb-46e6-86f2-3d30f8940777","F118 MKII","/products-1/f118-mkii","f143d812-40b7-42fd-a4d3-e8656a60d12b","https://images.prismic.io/funktion-one/cbac779c-a7ab-40fa-9400-4b5587c85de2_F118MKII_Website_Product.png?auto=compress,format&w=1920&q=20","Horn Loaded Bass",true,
