"ID","Created Date","Updated Date","Owner","Product","Driver","Operating Band","Sensitivity 1m","Power","Nominal Impedance"
"00eaa506-4166-4446-a5e5-dc486a46d390",2024-06-07T13:08:48Z,2024-06-07T13:08:48Z,"9a64f577-0ddb-46e6-86f2-3d30f8940777","fb0c27dc-ed86-4756-8192-fb02269af178","2 x 21""","20Hz - 200Hz","104dB at 2V","1500W","2 x 8Ω"
"0477d9fe-6025-4db1-a4ce-a3f8f6cef3f7",2024-06-07T13:08:49Z,2024-06-07T13:08:49Z,"9a64f577-0ddb-46e6-86f2-3d30f8940777","ccbaeb9b-8c02-4182-b6ae-481f1f9cd35c","2 x 8"" HF Slot","70Hz - 18kHz","98dB at 2.4V","400W","6Ω"
"04d798fb-a3f3-456f-b0a7-49a0f0091ae9",2024-06-07T13:08:48Z,2024-06-07T13:08:48Z,"9a64f577-0ddb-46e6-86f2-3d30f8940777","780a225a-c5d8-4939-a570-90d40865f238","12"" + 1""","55/85Hz - Up","100dB at 2.8V","350W","8Ω"
"077df216-431a-4e54-b461-f2945729f602",2024-06-07T13:08:48Z,2024-06-07T13:08:48Z,"9a64f577-0ddb-46e6-86f2-3d30f8940777","904044a9-6c1f-4197-9ff3-286e03777601","2 x 10""","200Hz - 4kHz","108dB at 2.8V","500W","12Ω"
"089d722f-fe0b-46c8-8eed-93d2f5743e99",2024-06-07T13:08:48Z,2024-06-07T13:08:48Z,"9a64f577-0ddb-46e6-86f2-3d30f8940777","2c009461-b83a-4f90-8311-eef1b281dd4d","8""","445Hz - 5.77kHz","108dB at 4V","200W","16Ω"
"08e763a9-7a86-4ef2-ab0f-8e1d4cce9b01",2024-06-07T13:08:48Z,2024-06-07T13:08:48Z,"9a64f577-0ddb-46e6-86f2-3d30f8940777","35f5e069-dd57-4190-b1ef-903bd7107c66","2 x 12""","45/85Hz - 280Hz","100dB at 4V","2 x 400W","2 x 16Ω"
"0a55480a-e324-4b69-90e3-634a3b699851",2024-06-07T13:08:48Z,2024-06-07T13:08:48Z,"9a64f577-0ddb-46e6-86f2-3d30f8940777","422cbe91-1e83-46a7-8d09-9688a390e317","2 x 12""","35Hz - 125Hz","104dB at 2.8V","600W","8Ω"
"0af18e0d-5ee3-47e9-a311-f0cc4f6e63d7",2024-06-07T13:08:49Z,2024-06-07T13:08:49Z,"9a64f577-0ddb-46e6-86f2-3d30f8940777","af28ecf0-6b89-404d-96de-761460ba4c39","MF + HF (V2)","600Hz - Up","111dB at 2.8V","200W","8Ω"
"0c548f57-9a6c-4a7e-8419-29e3961b22fb",2024-06-07T13:08:48Z,2024-06-07T13:08:48Z,"9a64f577-0ddb-46e6-86f2-3d30f8940777","35f5e069-dd57-4190-b1ef-903bd7107c66","1 x 1""","5kHz – 18kHz","109dB at 4V","100W","16Ω"
"0f195a26-93b9-409a-b0f3-ff3a1cfef79a",2024-06-07T13:08:49Z,2024-06-07T13:08:49Z,"9a64f577-0ddb-46e6-86f2-3d30f8940777","d4a30c5c-7e46-41bc-8720-a73575ed936a","12""","60Hz - 160Hz","104dB at 2.8V","250W","8Ω"
